,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
222,0.03,-14.84,19.74,-25.73,-103.57,115,0.98,-1.19,0.67
223,-35.47,35.47,76.62,18.86,101.73,0.11,1,205.67,-136.94
224,46.81,60.51,100.63,113.27,105.08,180,-0.08,-0.24,0.46
225,2.46,37.26,103.49,20.16,-80.58,9.46,0.25,0.59,0.5
226,-6.98,28.35,100.18,-2.78,-28.67,-26.9,0.11,0.55,0.69
227,-14.18,47,62.47,-135.21,89.31,-54,0.74,0.06,0.35
228,15.35,7.57,2.91,-223.68,-147.43,59,0.6,-0.93,1.12
229,-2.39,-9.18,-16.2,-64.62,-63.84,-9.2,0.29,-1.11,0.18
230,-9.3,25.44,-19.8,-7.62,142.12,-35.7,0.66,-1.11,-0.12
231,-64.7,60.25,-13.51,28.7,151.81,-250,1.03,-0.91,0.2
232,-30.59,75.91,3.21,63.09,79.74,-118.1,0.53,0.16,0.53
233,-0.06,73.42,13.38,35.73,5.11,-0.21,0.32,0.58,0.77
234,17.66,60.05,11.41,-11.7,-41.29,68.1,0.05,0.42,0.55
235,64.78,14.64,17.64,29.79,-161.66,250,1.09,-0.36,0.16
236,42.46,-5.63,17.71,10.91,-72.79,163.9,0.68,-0.79,-0.17
237,1.44,-12.2,14.68,1.98,-24.11,5.56,0.35,-0.99,-0.07
238,-16.72,7.8,38.01,106.19,79.74,-64.5,0.19,-1.21,0.61
239,38.09,41.58,94.04,237.42,134.66,146,-0.16,-0.53,0.56
240,13.1,35.07,108.41,66.21,-14.52,50.38,0.37,0.47,0.42
241,-1.95,25.47,102.83,-11.47,-31.6,-7.5,0.14,0.6,0.69
242,-28.1,-25.08,85.96,-59.28,-196.38,-10,0.12,0.41,0.31
243,8.21,-82.69,29.12,-208.34,-232.33,31,0.25,-0.44,0.46
244,44.61,-92.71,-0.25,5.19,122.95,7.33,0.64,-1.66,0.24
245,1.9,-58.85,-1.9,-70.25,175.53,-194,0.18,-0.94,-0.21
246,-50,-14.45,-21.2,82.63,230.57,-232,0.98,-1.14,-0.3
247,-8.85,43.95,3.66,13.89,19.15,-34.18,0.7,-0.45,0.17
248,2.02,43.8,9.75,19.9,8.46,7.8,0.21,0.4,0.69
249,64.78,15.67,21.52,49.6,-97.75,250.1,0.19,0.47,0.72
250,62.08,41.04,29.68,38.21,116.39,238.7,0.63,-0.06,0.49
251,17.11,10.55,20.84,-19.02,-113.07,65,1.31,-0.3,0.12
252,-4.12,38.39,24.45,29.17,116.85,-15.9,0.31,-1.08,-0.14
253,4.3,77.37,83.61,250.13,163.25,16.5,0.39,-1.09,0.01
254,27.97,77.68,116.87,148.78,9.7,107.99,0.17,-1.41,0.89
255,2.45,60.46,116.02,8.4,-54.21,9.43,-0.08,-0.03,0.18
256,-9.47,51.01,110.23,-11.66,-25.91,-36,0.22,0.59,0.59
257,-36.66,28.84,61.69,-175.24,-74.4,-14,0.22,0.6,0.58
258,51.06,16.05,37.23,-82.44,-37.93,196,0.38,-0.14,0.42
259,7.96,-11.75,31.55,-7.64,-104.08,30.7,1.35,-0.96,0.17
260,-22.49,31.83,21.05,-27.24,177.4,-86,0.68,-1.09,0.14
261,-65.04,74.01,29.3,41.29,183.56,-250,0.47,-0.97,-0.24
262,-15.94,89.92,41.19,47.02,78.73,-61.54,1.16,-0.69,0.11
263,-0.42,85.72,46.4,20,-1.09,-1.61,0.2,0.37,0.51
264,29.96,65.79,43.52,-10.76,-65.6,115,0.14,0.7,0.66
265,64.78,8.55,51.14,42.19,-209.69,250,0.05,0.37,0.41
266,26,-19.2,70.09,92,-103.81,100,0.87,-0.47,0
267,0.73,-17.97,69.82,21.84,4.55,2.81,1,-1.14,-0.37
